datetime,y_true,y_pred
2011-06-20,1.0,1
2011-06-21,1.0,1
2011-06-22,0.0,1
2011-06-23,0.0,1
2011-06-24,0.0,1
2011-06-27,1.0,1
2011-06-28,1.0,1
2011-06-29,0.0,1
2011-06-30,0.0,1
2011-07-01,1.0,1
2011-07-04,1.0,1
2011-07-05,1.0,1
2011-07-06,1.0,1
2011-07-07,1.0,1
2011-07-08,1.0,1
2011-07-11,1.0,1
2011-07-12,1.0,1
2011-07-13,1.0,1
2011-07-14,1.0,1
2011-07-15,1.0,0
2011-07-18,0.0,0
2011-07-19,1.0,1
2011-07-20,0.0,1
2011-07-21,1.0,1
2011-07-22,1.0,1
2011-07-25,1.0,1
2011-07-26,0.0,1
2011-07-27,1.0,1
2011-07-28,1.0,1
2011-07-29,0.0,1
2011-08-01,1.0,1
2011-08-02,1.0,1
2011-08-03,0.0,1
2011-08-04,1.0,1
2011-08-05,1.0,1
2011-08-08,1.0,1
2011-08-09,1.0,1
2011-08-10,0.0,1
2011-08-11,0.0,1
2011-08-12,1.0,1
2011-08-15,1.0,0
2011-08-16,1.0,1
2011-08-17,1.0,1
2011-08-18,1.0,1
2011-08-19,1.0,1
2011-08-22,0.0,1
2011-08-23,0.0,1
2011-08-24,1.0,1
2011-08-25,1.0,0
2011-08-26,0.0,1
2011-08-29,1.0,1
2011-08-30,0.0,1
2011-08-31,1.0,1
2011-09-01,1.0,1
2011-09-02,1.0,1
2011-09-05,0.0,1
2011-09-06,0.0,1
2011-09-07,1.0,1
2011-09-08,0.0,1
2011-09-09,0.0,1
2011-09-12,1.0,1
2011-09-13,0.0,1
2011-09-14,0.0,1
2011-09-15,1.0,1
2011-09-16,0.0,1
2011-09-19,1.0,1
2011-09-20,0.0,1
2011-09-21,0.0,1
2011-09-22,0.0,1
2011-09-23,0.0,1
2011-09-26,1.0,1
2011-09-27,0.0,1
2011-09-28,1.0,1
2011-09-29,1.0,1
2011-09-30,1.0,1
2011-10-03,0.0,1
2011-10-04,1.0,1
2011-10-05,1.0,1
2011-10-06,0.0,1
2011-10-07,1.0,1
2011-10-10,0.0,1
2011-10-11,1.0,1
2011-10-12,0.0,1
2011-10-13,1.0,1
2011-10-14,0.0,1
2011-10-17,0.0,1
2011-10-18,0.0,1
2011-10-19,0.0,1
2011-10-20,1.0,1
2011-10-21,1.0,1
2011-10-24,1.0,1
2011-10-25,1.0,1
2011-10-26,1.0,1
2011-10-27,0.0,1
2011-10-28,0.0,1
2011-10-31,1.0,1
2011-11-01,1.0,1
2011-11-02,1.0,1
2011-11-03,0.0,1
2011-11-04,1.0,1
2011-11-07,0.0,1
2011-11-08,0.0,1
2011-11-09,0.0,1
2011-11-10,1.0,1
2011-11-11,0.0,1
2011-11-14,1.0,1
