datetime,y_true,y_pred
2013-05-20,0.0,1
2013-05-21,0.0,1
2013-05-22,1.0,1
2013-05-23,0.0,1
2013-05-24,1.0,1
2013-05-27,0.0,1
2013-05-28,1.0,1
2013-05-29,1.0,1
2013-05-30,0.0,1
2013-05-31,1.0,1
2013-06-03,0.0,1
2013-06-04,1.0,1
2013-06-05,1.0,1
2013-06-06,0.0,1
2013-06-07,1.0,1
2013-06-10,0.0,1
2013-06-11,1.0,1
2013-06-12,0.0,1
2013-06-13,1.0,1
2013-06-14,0.0,1
2013-06-17,0.0,1
2013-06-18,0.0,1
2013-06-19,0.0,1
2013-06-20,1.0,1
2013-06-21,0.0,1
2013-06-24,0.0,1
2013-06-25,0.0,1
2013-06-26,0.0,1
2013-06-27,1.0,1
2013-06-28,1.0,1
2013-07-01,0.0,1
2013-07-02,1.0,1
2013-07-03,0.0,1
2013-07-04,0.0,1
2013-07-05,1.0,1
2013-07-08,1.0,1
2013-07-09,1.0,1
2013-07-10,1.0,1
2013-07-11,0.0,1
2013-07-12,0.0,1
2013-07-15,1.0,1
2013-07-16,0.0,1
2013-07-17,1.0,1
2013-07-18,1.0,1
2013-07-19,1.0,1
2013-07-22,1.0,1
2013-07-23,0.0,1
2013-07-24,1.0,1
2013-07-25,0.0,1
2013-07-26,0.0,1
2013-07-29,0.0,1
2013-07-30,0.0,1
2013-07-31,0.0,1
2013-08-01,1.0,1
2013-08-02,0.0,1
2013-08-05,0.0,1
2013-08-06,1.0,1
2013-08-07,1.0,1
2013-08-08,1.0,1
2013-08-09,1.0,1
2013-08-12,0.0,1
2013-08-13,1.0,1
2013-08-14,1.0,1
2013-08-15,1.0,1
2013-08-16,0.0,1
2013-08-19,1.0,1
2013-08-20,0.0,1
2013-08-21,1.0,1
2013-08-22,1.0,1
2013-08-23,1.0,1
2013-08-26,1.0,1
2013-08-27,1.0,1
2013-08-28,0.0,1
2013-08-29,0.0,1
2013-08-30,0.0,1
2013-09-02,1.0,1
2013-09-03,0.0,1
2013-09-04,0.0,1
2013-09-05,1.0,1
2013-09-06,0.0,1
2013-09-09,0.0,1
2013-09-10,1.0,1
2013-09-11,0.0,1
2013-09-12,1.0,1
2013-09-13,0.0,1
2013-09-16,0.0,1
2013-09-17,1.0,1
2013-09-18,1.0,1
2013-09-19,0.0,1
2013-09-20,0.0,1
2013-09-23,1.0,1
2013-09-24,1.0,1
2013-09-25,0.0,1
2013-09-26,1.0,1
2013-09-27,0.0,1
2013-09-30,0.0,1
2013-10-01,1.0,1
2013-10-02,1.0,1
2013-10-03,0.0,1
2013-10-04,1.0,1
2013-10-07,0.0,1
2013-10-08,0.0,1
2013-10-09,0.0,1
2013-10-10,0.0,1
2013-10-11,0.0,1
2013-10-14,1.0,1
2013-10-15,1.0,1
2013-10-16,1.0,1
2013-10-17,0.0,1
2013-10-18,0.0,1
2013-10-21,1.0,1
2013-10-22,0.0,1
2013-10-23,1.0,1
2013-10-24,1.0,1
2013-10-25,0.0,1
2013-10-28,0.0,1
2013-10-29,0.0,1
2013-10-30,0.0,1
2013-10-31,0.0,1
2013-11-01,0.0,1
2013-11-04,0.0,1
2013-11-05,1.0,1
2013-11-06,0.0,1
2013-11-07,0.0,1
2013-11-08,0.0,1
2013-11-11,0.0,1
2013-11-12,1.0,1
2013-11-13,1.0,1
2013-11-14,1.0,1
2013-11-15,0.0,1
2013-11-18,1.0,1
2013-11-19,0.0,1
2013-11-20,0.0,1
2013-11-21,1.0,1
2013-11-22,1.0,1
2013-11-25,0.0,1
2013-11-26,0.0,1
2013-11-27,1.0,1
2013-11-28,1.0,1
2013-11-29,0.0,1
2013-12-02,1.0,1
2013-12-03,1.0,1
2013-12-04,0.0,1
2013-12-05,1.0,1
2013-12-06,1.0,1
2013-12-09,1.0,1
2013-12-10,0.0,1
2013-12-11,0.0,1
2013-12-12,1.0,1
2013-12-13,1.0,1
2013-12-16,0.0,1
2013-12-17,0.0,1
2013-12-18,0.0,1
2013-12-19,1.0,1
2013-12-20,0.0,1
2013-12-23,1.0,1
2013-12-24,0.0,1
2013-12-25,1.0,1
2013-12-26,1.0,1
2013-12-27,0.0,1
2013-12-30,1.0,1
2013-12-31,0.0,1
2014-01-01,1.0,1
2014-01-02,1.0,1
2014-01-03,1.0,1
2014-01-06,0.0,1
2014-01-07,0.0,1
2014-01-08,1.0,1
2014-01-09,1.0,1
2014-01-10,1.0,1
2014-01-13,0.0,1
2014-01-14,0.0,1
2014-01-15,1.0,1
2014-01-16,1.0,1
2014-01-17,1.0,1
2014-01-20,0.0,1
2014-01-21,0.0,1
2014-01-22,1.0,1
2014-01-23,1.0,1
2014-01-24,0.0,1
2014-01-27,0.0,1
2014-01-28,1.0,1
2014-01-29,0.0,1
2014-01-30,1.0,1
2014-01-31,1.0,1
2014-02-03,0.0,1
2014-02-04,1.0,1
2014-02-05,1.0,1
2014-02-06,1.0,1
2014-02-07,1.0,1
2014-02-10,1.0,1
2014-02-11,0.0,1
2014-02-12,1.0,1
2014-02-13,1.0,1
2014-02-14,1.0,1
2014-02-17,0.0,1
2014-02-18,0.0,1
2014-02-19,1.0,1
2014-02-20,1.0,1
2014-02-21,1.0,1
2014-02-24,1.0,1
2014-02-25,0.0,1
2014-02-26,1.0,1
2014-02-27,0.0,1
2014-02-28,1.0,1
2014-03-03,0.0,1
2014-03-04,1.0,1
2014-03-05,1.0,1
2014-03-06,0.0,1
2014-03-07,1.0,1
2014-03-10,1.0,1
2014-03-11,0.0,1
2014-03-12,1.0,1
